CÓDIGO SIGEP,NOMBRE DE LA ENTIDAD,NIT,ORDEN,SUBORDEN,CLASIFICACIÓN ORGÁNICA,SECTOR,NIVEL,TIPO DE VINCULACIÓN,NATURALEZA JURÍDICA,LONGITUD,LATITUD,AÑO,FUENTE,CANTIDAD DE HOMBRES EN CARGOS DE MÁXIMO NIVEL DECISORIO,CANTIDAD DE MUJERES EN CARGOS DE MÁXIMO NIVEL DECISORIO,CANTIDAD DE HOMBRES EN CARGOS EN CARGOS DE OTROS NIVELES DECISORIOS,CANTIDAD DE MUJERES EN CARGOS EN CARGOS DE OTROS NIVELES DECISORIOS,CANTIDAD DE CARGOS PROVISTOS MÁXIMO NIVEL DECISORIO,CANTIDAD DE CARGOS PROVISTOS OTRO NIVEL DECISORIO,CODIGO DEPARTAMENTO,DEPARTAMENTO,CÓDIGO MUNICIPIO,MUNICIPIO
364,UNIVERSIDAD TECNOLOGICA DE PEREIRA,891480035,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,EDUCACIÓN,NO APLICA,NO APLICA,ENTE UNIVERSITARIO AUTÓNOMO,-75.795790934,4.803662773,2022,"Fuente: Función Pública, Informe Ley de Cuotas, 2022",2,3,1,2,5,3,66,RISARALDA,66001,PEREIRA
925,SENADO DE LA REPUBLICA,899999103,NACIONAL,NO APLICA,RAMA LEGISLATIVA,NO APLICA,NO APLICA,NO APLICA,SENADO DE LA REPÚBLICA,-74.181072702,4.316107698,2018,"Fuente: Función Pública, Informe Ley de Cuotas, 2018",1,1,8,3,2,11,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
8035,"AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS, RENTAS Y CONTRIBUCIONES PARAFISCALES",900528648,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,CENTRAL,ADSCRITAS,UNIDAD ADMINISTRATIVA ESPECIAL SIN PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2022,"Fuente: Función Pública, Informe Ley de Cuotas, 2022",0,2,1,2,2,3,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5258,UNIVERSIDAD MILITAR NUEVA GRANADA,800225340,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,EDUCACIÓN,NO APLICA,NO APLICA,ENTE UNIVERSITARIO AUTÓNOMO,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",3,2,10,8,5,18,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5298,INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA,830067892,NACIONAL,NO APLICA,RAMA EJECUTIVA,CULTURA,DESCENTRALIZADO,ADSCRITAS,ESTABLECIMIENTO PÚBLICO,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",1,0,1,1,1,2,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
880,UNIDAD DE PLANEACION MINERO ENERGETICA,830000282,NACIONAL,NO APLICA,RAMA EJECUTIVA,MINAS Y ENERGIA,DESCENTRALIZADO,ADSCRITAS,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2018,"Fuente: Función Pública, Informe Ley de Cuotas, 2018",2,0,5,1,2,6,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5259,SUPERINTENDENCIA DE VIGILANCIA Y SEGURIDAD PRIVADA,800217123,NACIONAL,NO APLICA,RAMA EJECUTIVA,DEFENSA,DESCENTRALIZADO,ADSCRITAS,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",2,0,1,3,2,4,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
1528,CORPORACION PARA EL DESARROLLO SOSTENIBLE DE LA MOJANA Y EL SAN JORGE,823000077,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,NO APLICA,NO APLICA,NO APLICA,ORGANOS AUTÓNOMOS,-75.172499549,8.589220102,2018,"Fuente: Función Pública, Informe Ley de Cuotas, 2018",0,1,3,1,1,4,70,SUCRE,70708,SAN MARCOS
5199,AGENCIA NACIONAL DE HIDROCARBUROS,830127607,NACIONAL,NO APLICA,RAMA EJECUTIVA,MINAS Y ENERGIA,DESCENTRALIZADO,ADSCRITAS,AGENCIA ESTATAL DE NATURALEZA ESPECIAL,-74.181072702,4.316107698,2021,"Fuente: Función Pública, Informe Ley de Cuotas, 2021",4,0,0,0,4,0,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
1426,CENTRO DE DIAGNOSTICO AUTOMOTOR DE CALDAS LTDA,890805554,NACIONAL,NO APLICA,RAMA EJECUTIVA,TRANSPORTE,DESCENTRALIZADO,ADSCRITAS,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,-75.50727881,5.08343301,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",1,0,0,0,1,0,17,CALDAS,17001,MANIZALES
880,UNIDAD DE PLANEACION MINERO ENERGETICA,830000282,NACIONAL,NO APLICA,RAMA EJECUTIVA,MINAS Y ENERGIA,DESCENTRALIZADO,ADSCRITAS,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2017,"Fuente: Función Pública, Informe Ley de Cuotas, 2017",1,0,3,1,1,4,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
292,INSTITUTO COLOMBIANO AGROPECUARIO,899999069,NACIONAL,NO APLICA,RAMA EJECUTIVA,AGROPECUARIO PESQUERO Y DE DESARROLLO RURAL,DESCENTRALIZADO,ADSCRITAS,ESTABLECIMIENTO PÚBLICO,-74.181072702,4.316107698,2022,"Fuente: Función Pública, Informe Ley de Cuotas, 2022",2,1,8,1,3,9,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
8019,PARQUES NACIONALES NATURALES DE COLOMBIA,830016624,NACIONAL,NO APLICA,RAMA EJECUTIVA,AMBIENTE Y DESARROLLO SOSTENIBLE,CENTRAL,ADSCRITAS,UNIDAD ADMINISTRATIVA ESPECIAL SIN PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2017,"Fuente: Función Pública, Informe Ley de Cuotas, 2017",4,3,1,2,7,3,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5289,INSTITUTO DE CASAS FISCALES DEL EJERCITO,860041247,NACIONAL,NO APLICA,RAMA EJECUTIVA,DEFENSA,DESCENTRALIZADO,ADSCRITAS,ESTABLECIMIENTO PÚBLICO,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",1,0,4,2,1,6,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
6468,POSITIVA COMPAÑIA DE SEGUROS S.A.,860011153,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,VINCULADAS,SOCIEDAD DE ECONOMÍA MIXTA,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",6,2,26,21,8,47,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
281,FONDO NACIONAL DE AHORRO,899999284,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,VINCULADAS,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,-74.181072702,4.316107698,2018,"Fuente: Función Pública, Informe Ley de Cuotas, 2018",0,,2,2,,4,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
8002,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION PENSIONAL Y CONTRIBUCIONES PARAFISCALES DE LA PROTECCION SOCIAL,900373913,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,ADSCRITAS,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",1,0,10,9,1,19,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
234,INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS,830000167,NACIONAL,NO APLICA,RAMA EJECUTIVA,SALUD Y PROTECCIÓN SOCIAL,DESCENTRALIZADO,ADSCRITAS,ESTABLECIMIENTO PÚBLICO,-74.181072702,4.316107698,2021,"Fuente: Función Pública, Informe Ley de Cuotas, 2021",1,0,5,6,1,11,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5860,UNIVERSIDAD DEL PACIFICO,835000300,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,EDUCACIÓN,NO APLICA,NO APLICA,ENTE UNIVERSITARIO AUTÓNOMO,-77.118728315,3.493340766,2022,"Fuente: Función Pública, Informe Ley de Cuotas, 2022",4,2,7,3,6,10,76,VALLE DEL CAUCA,76109,BUENAVENTURA
5,MINISTERIO DE DEFENSA NACIONAL,899999003,NACIONAL,NO APLICA,RAMA EJECUTIVA,DEFENSA,CENTRAL,CABEZA,MINISTERIO,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",5,1,8,12,6,20,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
281,FONDO NACIONAL DE AHORRO,899999284,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,VINCULADAS,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,-74.181072702,4.316107698,2017,"Fuente: Función Pública, Informe Ley de Cuotas, 2017",2,0,2,2,2,4,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
2195,BANCO DE LA REPUBLICA,860005216,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,NO APLICA,NO APLICA,NO APLICA,ORGANOS AUTÓNOMOS,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",7,5,217,105,12,322,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
30,SUPERINTENDENCIA DE SOCIEDADES,899999086,NACIONAL,NO APLICA,RAMA EJECUTIVA,COMERCIO INDUSTRIA Y TURISMO,DESCENTRALIZADO,ADSCRITAS,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",4,2,11,0,6,11,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5396,REGISTRADURIA NACIONAL DEL ESTADO CIVIL,899999040,NACIONAL,NO APLICA,ORGANIZACIÓN ELECTORAL,NO APLICA,NO APLICA,NO APLICA,REGISTRADORA NACIONAL,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",1,0,102,53,1,155,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
29,SUPERINTENDENCIA NACIONAL DE SALUD,860062187,NACIONAL,NO APLICA,RAMA EJECUTIVA,SALUD Y PROTECCIÓN SOCIAL,DESCENTRALIZADO,ADSCRITAS,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2022,"Fuente: Función Pública, Informe Ley de Cuotas, 2022",1,0,7,12,1,19,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
8008,MINISTERIO DEL INTERIOR,830114475,NACIONAL,NO APLICA,RAMA EJECUTIVA,INTERIOR,CENTRAL,CABEZA,MINISTERIO,-74.181072702,4.316107698,2017,"Fuente: Función Pública, Informe Ley de Cuotas, 2017",3,1,8,6,4,14,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5251,SUPERINTENDENCIA DE LA ECONOMIA SOLIDARIA,830053043,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,ADSCRITAS,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",1,1,2,3,2,5,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
2030,IMPRENTA NACIONAL DE COLOMBIA,830001113,NACIONAL,NO APLICA,RAMA EJECUTIVA,INTERIOR,DESCENTRALIZADO,VINCULADAS,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",3,1,1,1,4,2,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5202,AGENCIA NACIONAL DE INFRAESTRUCTURA.,830125996,NACIONAL,NO APLICA,RAMA EJECUTIVA,TRANSPORTE,DESCENTRALIZADO,ADSCRITAS,AGENCIA ESTATAL DE NATURALEZA ESPECIAL,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",1,0,4,2,1,6,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5253,CORPORACION NACIONAL PARA LA RECONSTRUCCION DE LA CUENCA DEL RIO PAEZ Y ZONAS ALEDAÑAS,800237214,NACIONAL,NO APLICA,RAMA EJECUTIVA,INTERIOR,DESCENTRALIZADO,ADSCRITAS,ESTABLECIMIENTO PÚBLICO,-76.591944191,2.471704362,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",1,1,0,0,2,0,19,CAUCA,19001,POPAYÁN
8036,INSTITUTO NACIONAL DE METROLOGIA,900494393,NACIONAL,NO APLICA,RAMA EJECUTIVA,COMERCIO INDUSTRIA Y TURISMO,DESCENTRALIZADO,ADSCRITAS,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",2,0,2,1,2,3,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5327,LA PREVISORA S.A. COMPAÑIA DE SEGUROS,860002400,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,VINCULADAS,SOCIEDAD DE ECONOMÍA MIXTA,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",1,5,64,57,6,121,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
29,SUPERINTENDENCIA NACIONAL DE SALUD,860062187,NACIONAL,NO APLICA,RAMA EJECUTIVA,SALUD Y PROTECCIÓN SOCIAL,DESCENTRALIZADO,ADSCRITAS,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",1,1,10,9,2,19,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
9,MINISTERIO DE MINAS Y ENERGIA,899999022,NACIONAL,NO APLICA,RAMA EJECUTIVA,MINAS Y ENERGIA,CENTRAL,CABEZA,MINISTERIO,-74.181072702,4.316107698,2018,"Fuente: Función Pública, Informe Ley de Cuotas, 2018",2,2,3,6,4,9,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
1428,CENTRO DE DIAGNOSTICO AUTOMOTOR DE CUCUTA LTDA,890505046,NACIONAL,NO APLICA,RAMA EJECUTIVA,TRANSPORTE,DESCENTRALIZADO,ADSCRITAS,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,-72.488626408,8.112041811,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",1,0,0,0,1,0,54,NORTE DE SANTANDER,54001,SAN JOSÉ DE CÚCUTA
314,INSTITUTO NACIONAL PARA SORDOS,860016627,NACIONAL,NO APLICA,RAMA EJECUTIVA,EDUCACIÓN,DESCENTRALIZADO,ADSCRITAS,ESTABLECIMIENTO PÚBLICO,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",1,1,2,0,2,2,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
297,"INSTITUTO NACIONAL DE CANCEROLOGIA, EMPRESA SOCIAL DEL ESTADO",899999092,NACIONAL,NO APLICA,RAMA EJECUTIVA,SALUD Y PROTECCIÓN SOCIAL,DESCENTRALIZADO,ADSCRITAS,EMPRESAS SOCIALES DEL ESTADO,-74.181072702,4.316107698,2017,"Fuente: Función Pública, Informe Ley de Cuotas, 2017",0,0,3,0,0,3,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
354,UNIVERSIDAD DE CALDAS,890801063,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,EDUCACIÓN,NO APLICA,NO APLICA,ENTE UNIVERSITARIO AUTÓNOMO,-75.50727881,5.08343301,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",5,7,3,6,12,9,17,CALDAS,17001,MANIZALES
6168,CENTRAL DE INVERSIONES S.A.,860042945,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,VINCULADAS,ESPECIAL,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",2,2,8,4,4,12,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
264,CORPORACION AUTONOMA REGIONAL PARA EL DESARROLLO SOSTENIBLE DEL CHOCO,899999238,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,AMBIENTE Y DESARROLLO SOSTENIBLE,NO APLICA,NO APLICA,ORGANOS AUTÓNOMOS,-76.65015147,5.7543229,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",6,2,0,0,8,0,27,CHOCÓ,27001,QUIBDÓ
401,UNIDAD ADMINISTRATIVA ESPECIAL JUNTA CENTRAL DE CONTADORES,900180739,NACIONAL,NO APLICA,RAMA EJECUTIVA,COMERCIO INDUSTRIA Y TURISMO,DESCENTRALIZADO,ADSCRITAS,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2017,"Fuente: Función Pública, Informe Ley de Cuotas, 2017",1,0,0,0,1,0,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
27,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,899999007,NACIONAL,NO APLICA,RAMA EJECUTIVA,JUSTICIA Y DEL DERECHO,DESCENTRALIZADO,ADSCRITAS,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",3,2,8,6,5,14,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
313,INSTITUTO NACIONAL PARA CIEGOS,860015971,NACIONAL,NO APLICA,RAMA EJECUTIVA,EDUCACIÓN,DESCENTRALIZADO,ADSCRITAS,ESTABLECIMIENTO PÚBLICO,-74.181072702,4.316107698,2018,"Fuente: Función Pública, Informe Ley de Cuotas, 2018",2,0,1,0,2,1,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
669,"INSTITUTO COLOMBIANO DE CREDITO EDUCATIVO Y ESTUDIOS TECNICOS EN EL EXTERIOR ""MARIANO OSPINA PEREZ""",899999035,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,VINCULADAS,ESPECIAL,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",7,3,1,3,10,4,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
7342,SOCIEDAD DE ACTIVOS ESPECIALES S.A.S.,900265408,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,VINCULADAS,ESPECIAL,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",0,1,11,11,1,22,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
365,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA -UNAD,860512780,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,EDUCACIÓN,NO APLICA,NO APLICA,ENTE UNIVERSITARIO AUTÓNOMO,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",5,2,28,25,7,53,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
32,UNIDAD ADMINISTRATIVA ESPECIAL DE ORGANIZACIONES SOLIDARIAS,899999050,NACIONAL,NO APLICA,RAMA EJECUTIVA,TRABAJO,DESCENTRALIZADO,ADSCRITAS,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2018,"Fuente: Función Pública, Informe Ley de Cuotas, 2018",1,0,3,1,1,4,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5327,LA PREVISORA S.A. COMPAÑIA DE SEGUROS,860002400,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,VINCULADAS,SOCIEDAD DE ECONOMÍA MIXTA,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",1,7,58,63,8,121,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5860,UNIVERSIDAD DEL PACIFICO,835000300,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,EDUCACIÓN,NO APLICA,NO APLICA,ENTE UNIVERSITARIO AUTÓNOMO,-77.118728315,3.493340766,2021,"Fuente: Función Pública, Informe Ley de Cuotas, 2021",4,2,5,3,6,8,76,VALLE DEL CAUCA,76109,BUENAVENTURA
895,CORPORACION AUTONOMA REGIONAL DEL RIO GRANDE DE LA MAGDALENA CORMAGDALENA,829000127,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,AMBIENTE Y DESARROLLO SOSTENIBLE,NO APLICA,RÉGIMEN AUTÓNOMO,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,-73.782116461,7.054074558,2021,"Fuente: Función Pública, Informe Ley de Cuotas, 2021",1,1,3,3,2,6,68,SANTANDER,68081,BARRANCABERMEJA
